content,labels
"இன்றைய துண்டறிக்கை பரப்புரை &amp; காணொளி பரப்புரை... கொத்தூர் ஊராட்சி &amp; பச்சூர்... ஜோலார்பேட்டை தொகுதி.. Tamil Nadu or Southாம்தமிழர்கட்சி Politics or communityீமான் Naam Tamilar Katchi (Political Party) Naam Tamilar Katchi (We Tamils Party) Seeman, leader of Naam Tamilar Katchi",Sarcastic
"தவறான மின்சார கட்டண கொள்ளையால்,சிறு குறு தொழில்கள் முடங்கும் அபாயம்.. 5000 கோடி அளவுக்கு Finance Loss இருக்கும்..3 கோடி வேலை இழப்பும் நடக்கப்போகுது"" 50 ஆண்டுகால திராவிட ஆட்சி இதுவே சாட்சி அவலங்கள் தொடர் கதை red_heart black_heart Tamil (Short form for Tamil-related content)ிருட்டு_திமுக By-elections or Deputyிஸ்பரிதாபங்கள் Tamil (Short form for Tamil-related content)ிராவிடமாடல்பரிதாபங்கள்",Substantiated
"பக்கோடா போடுங்க-னு சொன்னவங்க அவங்க... திமுக வேட்பாளர் கனிமொழி..! Trending News Dravida Munnetra Kazhagam MK Stalin, Chief Minister of Tamil Nadu Bharatiya Janata Party K. Annamalai, Tamil Nadu BJP President All India Anna Dravida Munnetra Kazhagam Edappadi K. Palaniswami Tamil Nadu Politics Election Campaign Lok Sabha Election 2024",Neutral
"Tamil (Short form for Tamil-related content)ிமுகவினரை பொதுமக்கள் விரட்டியடிப்பு Tamil (Short form for Tamil-related content)ிமுக_வேண்டாம்_போடா நமது சின்னம் ்டை_இலை MK Stalin, Chief Minister of Tamil Nadu Dravida Munnetra Kazhagam fails Tamil Nadu Tamil (Short form for Tamil-related content)ிமுககேடுதரும் Victory or Tamil Naduிழுப்புரம்itwing",Neutral
Sankar Ganesh என்ன அது,None of the above
"200 , 500 , கோட்டர் , பிரியாணி கொடுத்து கூட்டம் கூட்டும் , 1000,2000 கொடுத்து வாக்கை விலைக்கு வாங்கும் திமுகவை செருப்பாலயே அடிச்சிருக்கான்…. Dravida Munnetra Kazhagam fails Tamil Nadu DMK Fails",Opinionated
Sri (prefix of respect)்டாலின்_அண்ணாச்சி_சொன்னது_என்னாச்சி முதியோர்கள் என்ன பாவம் செய்ஞ்சாங்க?... Dravida Munnetra Kazhagam fails Tamil Nadu,Neutral
"மறைமுக கூட்டணி பேச்சுவார்த்தை? man_shrugging Politics or communityீமானின்_சின்னம்_ஒலிவாங்கி Politics or communityீமான் Mic, symbol of Naam Tamilar Katchi Naam Tamilar Katchi (Political Party) Seeman, leader of Naam Tamilar Katchi Voice or soundிவாங்கி",Opinionated
"கோவை மக்களின் நம்பிக்கை பெற்ற ஒரே மண்ணின் மைந்தன் திமுக வெற்றி வேட்பாளர் கணபதி ராஜ்குமார் Ganapathi P Rajkumar for Coimbatore Vote for DMK MK Stalin, Chief Minister of Tamil Nadu Dravida Munnetra Kazhagam (Political Party) Indian General Elections 2024 Udhayanidhi Stalin, Minister of Youth Welfare Ganapathi P Rajkumar",Substantiated
"நாங்க நாலு பேரு, எங்களுக்கு பயம் நா என்னன்னு தெரியாது.jpg",Negative
"இந்தியாவின் நம்பிக்கை நாயகன் ராகுலை வரவேற்கிறேன்; ""ராகுல் அவர்களே வருக... புதிய இந்தியாவிற்கு விடியல் தருக..."" கோவையில் முதல்வர் மு.க.ஸ்டாலின்‌ பேச்சு. Vote for India Rahul Gandhi, Indian National Congress leader MK Stalin, Chief Minister of Tamil Nadu Indian National Developmental Inclusive Alliance Indian Parliament Election 2024",Sarcastic
"திருநெல்வேலி பாராளுமன்ற தொகுதி வேட்பாளர் அக்கா பா.சத்யா அவர்களுக்கு. Voice or soundிவாங்கி_மைக் சின்னத்தில் வாக்களித்து வெற்றிபெற செய்ய வேண்டும். Tamil Nadu or Southாம்தமிழர் Tamil Nadu or Southாம்தமிழர்கட்சி Tamil (Short form for Tamil-related content)ிருநெல்வேலி Tamil Nadu or Southெல்லை Ourுசின்னம்_ஒலிவாங்கி Mic, symbol of Naam Tamilar Katchi Seeman, leader of Naam Tamilar Katchi Naam Tamilar Katchi (Political Party) Seeman for Tamil Nadu Seeman, symbol of Mic Naam Tamilar Katchi for Tamil Nadu",Sarcastic
"எனக்கு என்னமோ உன் மேல தான் சந்தேகமா இருக்கு! ுபுடி Edappadi்பாடி Edappadi K. Palaniswami Edappadi K. Palaniswami, AIADMK leader Edappadi K. Palaniswami, Leader of AIADMK",Sarcastic
"மக்களை கவரும் கோவை கலாமணி பரப்புரை! | Seeman, political leader | Naam Tamilar Katchi | | ... - தமிழ் முரசு - கொட்டும் முரசு",Opinionated
வாக்கு என்பது வலிமைமிக்க ஆயுதம் அதை சில ரொட்டி துண்டுகளுக்காக விற்பது அவமானகரமானது..!! ~ அம்பேத்கர்,Positive
"மயிலாடுதுறை மாற்றம் காண மக்கள் வேட்பாளர் ஆர்.சுதா அவர்களின் மகத்தான வாக்குறுதி… Vote for India Rahul Gandhi, Indian National Congress leader MK Stalin, Chief Minister of Tamil Nadu DMK IT Wing No Vote for BJP | | | |",Opinionated
"நாம் தமிழர் மைக் சின்னம் வாக்கு பெட்டியில் சரியாக தெரியும் வண்ணம் அச்சிடவில்லையா..? தேர்தல் அதிகாரி ராதாகிருஷ்ணன் பதில் | Naam Tamilar Katchi (Political Party) | Seeman, leader of Naam Tamilar Katchi | | Indian Parliament Election | |",Opinionated
"சகோதரர் ராகுல் சொன்னாரே... “நம்ம காப்பாத்துன இந்தியாவை சிதைக்க பார்க்கிறார்” முதல்வர் மு.க. ஸ்டாலின்! Tamil Nadu, Indian State Elections 2024 Dravida Munnetra Kazhagam (Political Party) MK Stalin, Chief Minister of Tamil Nadu Election Campaign Activities Tamil News Updates 24x7",Sarcastic
300 நச் பாயிண்ட்,None of the above
"Kyrgyzstan studio_microphone ்னியாகுமரி மக்கள் - ஒலிவாங்கி ( மைக் ) சின்னத்தில் வாக்களிப்போம் | நாளைய தலைமுறைக்கு வாழ்வளிப்போம் studio_microphone Kyrgyzstan Kyrgyzstan studio_microphone இன்னும் 05 ஏ நாளில் கையில் மை - மைக் சின்னத்தில் நம்முடைய கை - அடுத்த தலைமுறையினருக்கான வாழ்வியல் studio_microphone Kyrgyzstan People or related to people்களின்_சின்னம்_மைக் Mic, the symbol representing the voice of the people studio_microphone studio_microphone studio_microphone studio_microphone studio_microphone",Neutral
"""6 மாதம் சிறை உறுதி.. நானும், மம்தாவும் மட்டுமே.."" - சீமான் பேச பேச பறந்த விசில் Lok Sabha Election 2024 Seeman, leader of Naam Tamilar Katchi Naam Tamilar Katchi (Political Party)",Opinionated
"இதுவரைக்கும் என்ன செஞ்ச? ஒன்னும் செய்யல, அதேதான் இனியும் rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing Lok Sabha Election 2024 DMK Fails Dravida Munnetra Kazhagam fails Tamil Nadu Victory or Tamil Naduிடியாத_திமுகஅரசு Victory or Tamil Naduிடியா_அரசு",Sarcastic
கரும்பு விவசாயிகளுடன் கலந்துரையாடல் நிகழ்ச்சியின் நிகழ்வு... Tamil Nadu-relatedொள்ளாச்சியில்_தாமரைஆட்சி Bharatiya Janata Party,Positive
வெல்வோம் fire collision collision,Positive
கவலைகள் மறந்து சிரிக்கTMP prank paarunkaEnjoy pannunka,None of the above
விருதுநகர் பாராளுமன்ற தொகுதிக்கு உட்பட்ட சாத்தூர் 1 பகுதியில் இன்றைய வாகன பரப்புரைக்கு கிளம்பியாச்சு.... Politics or communityீமான்_சின்னம்_ஒலிவாங்கி People or related to people்களின்_சின்னம்_மைக் People or related to people்களின்_சின்னம்_ஒலிவாங்கி Victory or Tamil Naduிருதுநகர் Tamil or related contentெளஷிக்,Sarcastic
"தென் சென்னையில் முந்துவது யார் ? MK Stalin, Chief Minister of Tamil Nadu Edappadi K. Palaniswami Narendra Modi, Prime Minister of India Indian National Developmental Inclusive Alliance Seeman, leader of Naam Tamilar Katchi All India Anna Dravida Munnetra Kazhagam Dravida Munnetra Kazhagam (Political Party) Elections 2024",Substantiated
"எத்தனை பொய்களைத்தான் நாடு தாங்கும், எங்கள் காதுகள் பாவம் இல்லையா - முதல்வர் ஸ்டாலின் தமிழ்நாட்டிற்கு 10.76 லட்சம் கோடி கொடுத்ததாக மத்திய அரசு கூறுவது பொய் கணக்கு - ஸ்டாலின் ஒட்டு மொத்த தமிழ் மக்கள் காதிலும் பூ சுற்ற நினைக்கிறது பாஜக அரசு - முதல்வர் மு க ஸ்டாலின் MK Stalin, Chief Minister of Tamil Nadu Sri (prefix of respect)்டாலின்",Negative
"சீமானை வீழ்த்த நடக்கும் சதி! திமுக கூலிப்படையினரின் கோழைத்தனம் : இடும்பாவனம் கார்த்திக் காணொளி: Tamil Nadu, Indian State Seeman, leader of Naam Tamilar Katchi DMK DMK Fails Dravida Munnetra Kazhagam Alliance",Negative
என்ன பண்ண முடியும்,None of the above
"சீமான் வழியில் அண்ணாமலையும் அதையே பண்ண பாக்குறார்! - Muthalif Interview | Seeman | NTK முழு பேட்டி play_button Naam Tamilar Katchi (Political Party) Seeman, leader of Naam Tamilar Katchi",Positive
"""புதியதோர் தேசம் செய்வோம்"" ""மக்கள் புரட்சியால் அதை உறுதி செய்வோம்"" நமது சின்னம் Voice or soundிவாங்கி (மைக்) People or related to people்களின்_சின்னம்_மைக் Mic, the symbol representing the voice of the people Say No to AIADMK, BJP, Congress, DMK",Neutral
"விழுப்புரத்தில் முதல்-அமைச்சர் இன்று பிரசாரம்...! DMK Fails Dravida Munnetra Kazhagam Alliance Dravida Munnetra Kazhagam fails Tamil Nadu MK Stalin, Chief Minister of Tamil Nadu Lok Sabha Election 2024 Elections 2024",Positive
சென்னைக்கு உண்டான குடிநீர் சென்னையில் இருந்தே எடுக்கப்படும்! - மருத்துவர் இரா. கார்த்திகேயன் மத்திய சென்னை தொகுதி வெற்றி வேட்பாளர் Ideologies of Seeman fire fire fire Naam Tamilar Katchi Politics,Positive
"மேகேதாட்டு விவகாரம் | 3 நாட்களாக முதல்வர் ஸ்டாலின் மவுனம் ஏன்? - அன்புமணி கேள்வி Pattali Makkal Katchi MK Stalin, Chief Minister of Tamil Nadu",Substantiated
"எதுகை மோனையில் பாட்டுப்பாடிய சீமான்.. வீடியோ எடுத்து வைப் செய்த பொதுமக்கள்…. | Seeman, leader of Naam Tamilar Katchi | Naam Tamilar Katchi (Political Party) |",Sarcastic
உழைப்புச் சுரண்டலின் நவீன அடையாளம் சுங்கச் சாவடி ... சுங்கச்சாவடி அற்ற சாலைகளே நமது இலக்கு...,Opinionated
"“கொள்கையும் கிடையாது.. கோட்பாடும் கிடையாது.. பேரு மட்டும் இந்தியா கூட்டணியாம்!” சீமான் தாக்கு Seeman, leader of Naam Tamilar Katchi Indian National Developmental Inclusive Alliance Lok Sabha Elections 2024 Politics or communityீமான்",Positive
தூத்துக்குடி மக்களவைத் தொகுதி - ஓர் அறிமுகம் Lok Sabha Elections 2024 Indian General Elections 2024 Indian National Congress All India Anna Dravida Munnetra Kazhagam Bharatiya Janata Party Naam Tamilar Katchi Bharatiya Janata Party Parliament News,Sarcastic
"விடியலாற் சொன்ன வளர்ச்சி Victory or Tamil Naduீரன் , புதிய சரக்கு Tamil (Short form for Tamil-related content)ிமுக_படுதோல்வி_அடையும் Tamil (Short form for Tamil-related content)ிமுக_நாட்டுக்கும்_வீட்டுக்கும்_கேடு Dravida Munnetra Kazhagam fails Tamil Nadu DMK Fails",Opinionated
"தம்பி அண்ணாமலை என்னுடைய ஸ்லீப்பர் செல் Seeman, political leader K. Annamalai, Tamil Nadu BJP President Naam Tamilar Katchi",Neutral
Sri (prefix of respect)்டாலின்_அண்ணாச்சி_சொன்னது_என்னாச்சி மீனவ மக்கள் எல்லாம் கடலில் கருப்புக்கொடி ஏந்தி போராட்டம் பண்ணிட்டு இருக்காங்க அந்தபக்கம் போய்டாதீங்க... Dravida Munnetra Kazhagam fails Tamil Nadu,Opinionated
"அண்ணாமலைக்கு ஸ்பெஷல் ராகி இட்லி.. நான் டயட்டில் ரொம்ப STRICT.. Tamil Nadu, Indian State Indian General Elections 2024 Election Campaign Activities Dravida Munnetra Kazhagam (Political Party) All India Anna Dravida Munnetra Kazhagam Bharatiya Janata Party Pattali Makkal Katchi Tamil News Updates 24x7",Sarcastic
"பாஜகவிற்கு வடக்கில் நடக்கும் சோதனை,அமித்ஷா மோடி தமிழக வருகை கேள்விக்குறிதான்? FULL VIDEO red_circle WATCH NOW : Narendra Modi, Prime Minister of India Bharatiya Janata Party Tamil News Dravida Munnetra Kazhagam All India Anna Dravida Munnetra Kazhagam Edappadi K. Palaniswami, Leader of AIADMK Tamil News Indian National Congress Rahul Gandhi, Congress Leader",Opinionated
"அதிமுக பொதுச்செயலாளர் , அகில இந்திய பார்வர்ட் பிளாக் கட்சியின் பொதுச்செயலாளர் சந்திப்பு All India Anna Dravida Munnetra Kazhagam Edappadi K. Palaniswami, Leader of AIADMK Edappadi K. Palaniswami Tamil News",Neutral
"கச்சத்தீவை பற்றி பேசுவது தான் தேர்தல் அரசியல். Seeman, leader of Naam Tamilar Katchi | | Naam Tamilar Katchi (Political Party) | Katchatheevu Island Issue |",Sarcastic
கடலூர் பாமக வேட்பாளர் அழைப்பு ஒரே மேடையில் அனைத்து வேட்பாளர் விவாதம் நீங்கள் ரெடியா காங்கிரஸ் அழகிரி Mp அருள்மொழி தேவன் அதிமுக MP கொலையாளி திமுக MP ரமேஷ் என்ன செய்தார்கள் என்று சொல்லுங்க?? Pattali Makkal Katchi All India Anna Dravida Munnetra Kazhagam,Opinionated
திராவிடர்களின் கதறல் rolling_on_the_floor_laughing rolling_on_the_floor_laughing அண்ணன் சீமானை நினைத்து அமைச்சர் கதறல்.. grinning_face By-elections or Deputyிஸ்பரிதாபங்கள் Tamil (Short form for Tamil-related content)ிராவிடமாடல்பரிதாபங்கள் Victory or Tamil Naduிடியா_அரசு Tamil (Short form for Tamil-related content)ிருட்டு_திமுக Politics or communityாத்தானின்_ஆட்சி Dravida Munnetra Kazhagam fails Tamil Nadu,Negative
"இதுபோல், உங்கள் தொகுதிக்கு ஏற்றாற்போல் வடிவமைப்பு செய்து பரப்புங்கள் உறவே... People or related to people்களின்_சின்னம்_மைக் Mic, the symbol representing the voice of the people",Neutral
வன்னியர்க்கு மட்டுமல்ல சமூகநீதிக்கே முழுமுதல் எதிரி...Dravida Munnetra Kazhagam Alliance ஆரணி பாராளுமன்ற தொகுதி வன்னியர்கள் மட்டுமல்ல அனைத்து வன்னியர்களும் கட்டாயம் காண வேண்டிய காணொளி! Dravida Munnetra Kazhagam fails Tamil Nadu DMK Fails Pass It On repeat_button,Negative
அண்ணாமலைக்கு ஈபிஎஸ் பதிலடி ஜூன் 4 ஆம் தேதி தெரியும் யார் அழிந்து போவார்கள் என்று - ஈபிஎஸ் Edappadi K. Palaniswami All India Anna Dravida Munnetra Kazhagam Elections 2024,Opinionated
இந்தியா கூட்டணியின் தேர்தல் வாக்குறுதிகள்! விவசாய இடுபொருட்களுக்கு ஜி.எஸ்.டி. வரி கிடையாது! ஏழைப் பெண்களுக்கு ஆண்டுக்கு ஒரு இலட்சம் ரூபாய் வழங்கப்படும்! ஒன்றிய அரசுப் பணிகளில் பெண்களுக்கு 50 விழுக்காடு இடஒதுக்கீடு வழங்கப்படும்! விவசாயத்திற்குக் குறைந்தபட்ச ஆதார விலைக்குச் சட்ட அங்கீகாரம் தரப்படும்! - கழகத் தலைவர் மாண்புமிகு முதலமைச்சர் திரு அவர்கள். Sri (prefix of respect)்டாலின்குரல்,Positive
தமிழ்நாட்டில் இஸ்லாமியரை தீவிரவாதிகளாக உருவாக்கப்படுத்தியது கருணாநிதி எனும் பெரும் மகான் சொன்னவர் பேராசிரியர் - மாமாஆனவர் அணி இசுலாமிய மக்களை அடிமைகளாக வைத்திருக்கும் ுலாமிய_விரோதி_திமுக Tamil (Short form for Tamil-related content)ிருட்டு_திராவிடம் Tamil (Short form for Tamil-related content)ிராவிடமாடல்பரிதாபங்கள் Dravida Munnetra Kazhagam fails Tamil Nadu,Positive
"Just In News | மின்னணு வாக்குப்பதிவு இயந்திரத்தை ஹேக் செய்ய முடியும் - சீமான் Seeman, leader of Naam Tamilar Katchi | Naam Tamilar Katchi (Political Party) | Elections with PT News",Opinionated
"புதிய அரசியல் மாற்றத்திற்காக மக்களின் ஆதரவு சீமானுக்கே.. purple_heart Seeman, political leader Politics or communityீமானின்_சின்னம்_ஒலிவாங்கி_மைக்",Sarcastic
"திருவரங்கம் மேற்கு தொகுதி சார்பாக 2024 பாராளுமன்றத் தேர்தலுக்கான வாகனப் பரப்புரை &amp; துண்டறிக்கை வழங்குதல் இன்று காலை முதல் இரவு வரை அந்தநல்லூர் ஒன்றிய பகுதிகளில் மிகச் சிறப்பாக நடைபெற்றது. People or related to people்களின்_சின்னம்_மைக் Mic, the symbol representing the voice of the people",Sarcastic
ஸ்டெர்லைட்ல சுடு பட்டு செத்த மாறி சாவனும்னா முதல் ரெண்டுக்கு ஓட்டு போடுங்க.. இலங்கைல செத்த மாறி சாவனும்னா 3க்கு ஓட்டு போடுங்க நிம்மதியா உயிர் வாழனும்னா 6வது இடத்துல இருக்க மைக்குக்கு ஓட்டு போடுங்க,Positive
"இப்படி எதையும் எதிர்பாராமல் உழைக்கும் இளைஞர்கள் நாம் தமிழர் கட்சியில் மட்டுமே உண்டு flexed_biceps flexed_biceps flexed_biceps ைக் Mic, symbol of Naam Tamilar Katchi Seeman, leader of Naam Tamilar Katchi Seeman's Political Ideology",Opinionated
கக்க போ தமிழ் பேச தெரியாதவர் தமிழ்நாட்டின் முதல்வர்,Negative
"கனிமொழிக்கு எதிராக வலுவான வேட்பாரை ஏன் எதிர்கட்சிகள் நிறுத்தவில்லை?| Ksr | ksrvoice | , Tamil or related contentேஎஸ்ஆர்,Tamil or related contentேஎஸ்ஆர்போஸ்ட்,Tamil or related contentேஎஸ்ராதாகிருஷ்ணன்,Tamil or related contentேஎஸ்ஆர்வாய்ஸ், , , , ,Dravida Munnetra Kazhagam,Elections, , ,All India Anna Dravida Munnetra Kazhagam, , Dravida Munnetra Kazhagam,Elections, , , Dravida Munnetra Kazhagam,All India Anna Dravida Munnetra Kazhagam, ,Elections,",Opinionated
"""எங்களை காப்பாற்ற என்ன வழி?"" | Seeman, leader of Naam Tamilar Katchi Naam Tamilar Katchi (Political Party) Elections 2024 MK Stalin, Chief Minister of Tamil Nadu",Neutral
"""நல்ல பொழுதையெல்லாம் தூங்கிக்கெடுத்தவர்கள் நாட்டைக் கெடுத்ததுடன் தானும்கெட்டார்!"" sleeping_face Tamil (Short form for Tamil-related content)ிராவிடமாடல்பரிதாபங்கள்",Substantiated
1000 ரூபா உங்கப்பன் வீட்டு காசாடா ? 1000 த்துக்கு பொறந்தவனுங்களா .. Ayya (Respectful)ிரம்_ரூபாய்க்கு_பிறந்தவனுங்க,Sarcastic
"கோவை : INDIA கூட்டணி வேட்பாளர்களை ஆதரித்து ராகுல் காந்தி - மு.க.ஸ்டாலின் பிரசாரம்! Coimbatore, Tamil Nadu City Tamil Nadu, Indian State Rahul Gandhi, Congress leader MK Stalin, Chief Minister of Tamil Nadu Indian National Developmental Inclusive Alliance Dravida Munnetra Kazhagam (Political Party) Indian National Congress",Neutral
"red_circle LIVE : சேலம் மாவட்டத்தில் அதிமுக கொடியேற்றி பொதுச்செயலாளர் எடப்பாடி பழனிசாமி உரை | ADMK | EPS Edappadi K. Palaniswami All India Anna Dravida Munnetra Kazhagam Edappadi K. Palaniswami, Leader of AIADMK Watch Link:",Positive
பாட்டு 2 சீக்கிரம் போடுங்க,None of the above
"People or related to people்களின்_சின்னம்_மைக் studio_microphone Mic, the symbol representing the voice of the people studio_microphone திருப்பெரும்புதூர் மக்களவை தொகுதி நாம்தமிழர் வெற்றி வேட்பாளர் மருத்துவர் வே இரவிச்சந்திரன் வரிசை எண் 13 நமது சின்னம் மைக் studio_microphone",Sarcastic
"இது தான் கேரளாவில் பிஜேபியின் நிலை... People or related to people்களின்_சின்னம்_ஒலிவாங்கி People or related to people்களின்_சின்னம்_மைக் Mic, the symbol representing the voice of the people",Negative
"மேடையில் திடீரென ஆக்ரோஷமாக கத்திய சீமான்.. சிரிப்பை அடக்க முடியாமல் திணறிய வேட்பாளர் Naam Tamilar Katchi Seeman, political leader",Opinionated
இந்த நாயி பேச்சை கேட்க ஒரு மானம் கெட்ட உபி யும் இல்லை Ayya (Respectful)ிரம்_ரூபாய்க்கு_பிறந்தவனுங்க டிராவிட் சன்ஸ்,Sarcastic
"மத்திய சென்னையில் மக்கள் ஆதரவு யாருக்கு ? - மக்கள் பரபரப்பு கருத்து | Central Chennai | DMK | BJP | Seeman, political leader",Positive
"2011 வரலாறு மீண்டும் திரும்பும்.. இது ராசியான கூட்டணி..மூன்று தெய்வங்களின் ஆசி உண்டு Edappadi K. Palaniswami Edappadi K. Palaniswami, Leader of AIADMK Link:",Sarcastic
"நாம் தமிழர் கட்சி சார்பாக ஒலிவாங்கி (மைக்) சின்னத்தில் போட்டியிடும் பெரம்பலூர் நாடாளுமன்றத் தொகுதி வெற்றி வேட்பாளர் பேராசிரியர் தேன்மொழி அவர்களை ஆதரித்து 13.04.2024 இன்று தலைமை ஒருங்கிணைப்பாளர் செந்தமிழன் சீமான் அவர்கள் தலைமையில் மணச்சநல்லூரில் வாக்கு சேகரித்து தேர்தல் பரப்புரை நடைபெற்றது. People or related to people்களின்_சின்னம்_மைக் Mic, the symbol representing the voice of the people Elections 2024",Substantiated
பங்காளிகளைப் புறகணிப்போம்.. மோடி அண்ணாமலை கரங்களை வலுபடுத்துவோம்.. Dravida Munnetra Kazhagam fails Tamil Nadu DMK Fails Tamil Naduிழர்விரோதிதிமுக Tamil Naduிழர்_விரோதி_திமுக,Substantiated
"வாக்குஇயந்திரத்தில்வரிசைஎண் 5 ல் ூர் பாராளுமன்ற வேட்பாளர் மருத்துவர் ெ_கருப்பையா அவர்களுக்கு Voice or soundிவாங்கி Tamil Nadu or related to Tamilைக் சின்னத்தில் வாக்களிப்போம் fire Tamil Nadu or Southாம்தமிழர்கட்சி ூர் People or related to people்களின்_சின்னம்_மைக் Seeman, leader of Naam Tamilar Katchi Naam Tamilar Katchi (Political Party) Seeman for Tamil Nadu Seeman, symbol of Mic",Opinionated
