Id,Labels
PS_180,Opinionated
PS_181,None of the above
PS_182,Neutral
PS_183,Opinionated
PS_184,Sarcastic
PS_185,Opinionated
PS_186,None of the above
PS_187,Sarcastic
PS_188,Substantiated
PS_189,Positive
PS_190,Sarcastic
PS_191,Sarcastic
PS_192,Sarcastic
PS_193,Opinionated
PS_194,Neutral
PS_195,Neutral
PS_196,Substantiated
PS_197,Opinionated
PS_198,Sarcastic
PS_199,Positive
PS_200,Opinionated
PS_201,Positive
PS_202,Substantiated
PS_203,Neutral
PS_204,Opinionated
PS_205,Neutral
PS_206,Neutral
PS_207,Positive
PS_208,Sarcastic
PS_209,Substantiated
PS_210,Negative
PS_211,Neutral
PS_212,Neutral
PS_213,Negative
PS_214,Neutral
PS_215,Positive
PS_216,Sarcastic
PS_217,Opinionated
PS_218,Negative
PS_219,Opinionated
PS_220,Opinionated
PS_221,Substantiated
PS_222,Neutral
PS_223,Sarcastic
PS_224,Neutral
PS_225,Neutral
PS_226,Substantiated
PS_227,Neutral
PS_228,Neutral
PS_229,Neutral
PS_230,Positive
PS_231,Sarcastic
PS_232,Opinionated
PS_233,Sarcastic
PS_234,Sarcastic
PS_235,Negative
PS_236,Negative
PS_237,Opinionated
PS_238,Sarcastic
PS_239,Negative
PS_240,Neutral
PS_241,Sarcastic
PS_242,Sarcastic
PS_243,Negative
PS_244,Substantiated
PS_245,Negative
PS_246,Neutral
PS_247,Neutral
PS_248,Sarcastic
PS_249,Negative
PS_250,Substantiated
PS_251,Sarcastic
PS_252,Neutral
PS_253,Opinionated
PS_254,Sarcastic
PS_255,Opinionated
PS_256,Sarcastic
PS_257,None of the above
PS_258,Neutral
PS_259,Neutral
PS_260,Opinionated
PS_261,Neutral
PS_262,Sarcastic
PS_263,Sarcastic
PS_264,Sarcastic
PS_265,Sarcastic
PS_266,Neutral
PS_267,Neutral
PS_268,Substantiated
PS_269,Positive
PS_270,Positive
PS_271,Positive
PS_272,Sarcastic
PS_273,Neutral
PS_274,Neutral
PS_275,Sarcastic
PS_276,Opinionated
PS_277,Neutral
PS_278,Neutral
PS_279,Sarcastic
PS_280,Sarcastic
PS_281,Sarcastic
PS_282,Opinionated
PS_283,Sarcastic
PS_284,Positive
PS_285,Substantiated
PS_286,Neutral
PS_287,Neutral
PS_288,Sarcastic
PS_289,Opinionated
PS_290,Positive
PS_291,None of the above
PS_292,Neutral
PS_293,Neutral
PS_294,Neutral
PS_295,Positive
PS_296,Sarcastic
PS_297,Neutral
PS_298,Positive
PS_299,Neutral
PS_300,Opinionated
PS_301,None of the above
PS_302,Neutral
PS_303,Neutral
PS_304,Opinionated
PS_305,Substantiated
PS_306,Negative
PS_307,Sarcastic
PS_308,Opinionated
PS_309,Substantiated
PS_310,Negative
PS_311,Neutral
PS_312,Opinionated
PS_313,Neutral
PS_314,Positive
PS_315,Sarcastic
PS_316,Neutral
PS_317,Sarcastic
PS_318,Neutral
PS_319,Opinionated
PS_320,Positive
PS_321,Sarcastic
PS_322,Neutral
PS_323,Positive
PS_324,Sarcastic
PS_325,Neutral
PS_326,Neutral
PS_327,Opinionated
PS_328,Neutral
PS_329,Negative
PS_330,Neutral
PS_331,Substantiated
PS_332,Sarcastic
PS_333,None of the above
PS_334,Opinionated
PS_335,Substantiated
PS_336,Opinionated
PS_337,Positive
PS_338,Neutral
PS_339,Neutral
PS_340,Positive
PS_341,Neutral
PS_342,Opinionated
PS_343,Neutral
PS_344,Sarcastic
PS_345,Positive
PS_346,Neutral
PS_347,Positive
PS_348,Opinionated
PS_349,Neutral
PS_350,Neutral
PS_351,Positive
PS_352,Sarcastic
PS_353,Negative
PS_354,Neutral
PS_355,Positive
PS_356,Sarcastic
PS_357,Neutral
PS_358,Positive
PS_359,Substantiated
PS_360,Substantiated
PS_361,Positive
PS_362,Sarcastic
PS_363,Opinionated
PS_364,Sarcastic
PS_365,Substantiated
PS_366,Opinionated
PS_367,None of the above
PS_368,Neutral
PS_369,Sarcastic
PS_370,Substantiated
PS_371,Neutral
PS_372,Negative
PS_373,Neutral
PS_374,Opinionated
PS_375,Opinionated
PS_376,Neutral
PS_377,Neutral
PS_378,Opinionated
PS_379,Neutral
PS_380,Substantiated
PS_381,Sarcastic
PS_382,Neutral
PS_383,Opinionated
PS_384,Opinionated
PS_385,Opinionated
PS_386,Negative
PS_387,Neutral
PS_388,Neutral
PS_389,Opinionated
PS_390,Neutral
PS_391,Negative
PS_392,Neutral
PS_393,Neutral
PS_394,Sarcastic
PS_395,Negative
PS_396,Positive
PS_397,Opinionated
PS_398,Sarcastic
PS_399,Negative
PS_400,Sarcastic
PS_401,Sarcastic
PS_402,Opinionated
PS_403,Neutral
PS_404,Sarcastic
PS_405,Negative
PS_406,Opinionated
PS_407,Neutral
PS_408,Sarcastic
PS_409,Sarcastic
PS_410,Neutral
PS_411,None of the above
PS_412,Positive
PS_413,Positive
PS_414,Neutral
PS_415,Positive
PS_416,Substantiated
PS_417,Substantiated
PS_418,Neutral
PS_419,Neutral
PS_420,Neutral
PS_421,Neutral
PS_422,Positive
PS_423,Substantiated
PS_424,Neutral
PS_425,Sarcastic
PS_426,Opinionated
PS_427,Opinionated
PS_428,Sarcastic
PS_429,Opinionated
PS_430,Sarcastic
PS_431,Substantiated
PS_432,Positive
PS_433,Positive
PS_434,Opinionated
PS_435,Opinionated
PS_436,Substantiated
PS_437,Opinionated
PS_438,Sarcastic
PS_439,Substantiated
PS_440,None of the above
PS_441,Neutral
PS_442,Opinionated
PS_443,Opinionated
PS_444,Substantiated
PS_445,Sarcastic
PS_446,Neutral
PS_447,Sarcastic
PS_448,Substantiated
PS_449,Sarcastic
PS_450,Neutral
PS_451,None of the above
PS_452,Opinionated
PS_453,Opinionated
PS_454,Neutral
PS_455,Neutral
PS_456,Sarcastic
PS_457,Opinionated
PS_458,Sarcastic
PS_459,Neutral
PS_460,Positive
PS_461,Opinionated
PS_462,Negative
PS_463,Neutral
PS_464,Opinionated
PS_465,Positive
PS_466,Sarcastic
PS_467,Opinionated
PS_468,Positive
PS_469,Negative
PS_470,Sarcastic
PS_471,Opinionated
PS_472,Neutral
PS_473,Neutral
PS_474,Opinionated
PS_475,Opinionated
PS_476,Opinionated
PS_477,Sarcastic
PS_478,Substantiated
PS_479,Positive
PS_480,Opinionated
PS_481,Negative
PS_482,Opinionated
PS_483,Sarcastic
PS_484,Neutral
PS_485,Neutral
PS_486,None of the above
PS_487,Opinionated
PS_488,Opinionated
PS_489,Sarcastic
PS_490,Substantiated
PS_491,Opinionated
PS_492,None of the above
PS_493,Sarcastic
PS_494,Neutral
PS_495,Opinionated
PS_496,Neutral
PS_497,Neutral
PS_498,Sarcastic
PS_499,Neutral
PS_500,None of the above
PS_501,Neutral
PS_502,Opinionated
PS_503,Neutral
PS_504,Sarcastic
PS_505,Substantiated
PS_506,Neutral
PS_507,Positive
PS_508,Neutral
PS_509,Sarcastic
PS_510,Sarcastic
PS_511,Neutral
PS_512,Neutral
PS_513,Positive
PS_514,Substantiated
PS_515,Negative
PS_516,Opinionated
PS_517,Sarcastic
PS_518,Neutral
PS_519,Negative
PS_520,Neutral
PS_521,Sarcastic
PS_522,Neutral
PS_523,Sarcastic
PS_524,Opinionated
PS_525,Neutral
PS_526,Positive
PS_527,Positive
PS_528,Positive
PS_529,Sarcastic
PS_530,Positive
PS_531,Opinionated
PS_532,Sarcastic
PS_533,Negative
PS_534,Neutral
PS_535,Substantiated
PS_536,Opinionated
PS_537,Opinionated
PS_538,Negative
PS_539,None of the above
PS_540,Opinionated
PS_541,Sarcastic
PS_542,Opinionated
PS_543,Substantiated
PS_544,Negative
